rannum,action_type,combined_shot_type,game_event_id,game_id,lat,loc_x,loc_y,lon,minutes_remaining,period,playoffs,season,seconds_remaining,shot_distance,shot_type,shot_zone_area,shot_zone_basic,shot_zone_range,team_id,team_name,game_date,matchup,opponent,shot_id,attendance,arena_temp,avgnoisedb,time_remaining,shot_made_flag,action_type_cat,comb_type_cat,shot_type_cat,shot_zone_cat,shot_zone_bas_cat,shot_zone_range_cat,opponent_cat,0,1,_INTO_
10,Jump Shot,Jump Shot,10,20000012,33.9723,167,72,-118.1028,10,1,0,2000-01,27,18,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,10/31/2000,LAL @ POR,POR,1,14707,69,94.06,627,,26,4,1,6,5,1,1,0.5469371399,0.4530628601,0
11,Jump Shot,Jump Shot,254,20000012,34.0163,1,28,-118.2688,8,3,0,2000-01,5,2,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,10/31/2000,LAL @ POR,POR,8,14707,69,94.06,485,,26,4,1,2,6,5,1,0.2940539657,0.7059460343,1
31,Driving Layup Shot,Layup,100,20000019,34.0443,0,0,-118.2698,0,1,0,2000-01,1,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,11/01/2000,LAL vs. UTA,UTA,17,15851,69,95.71,1,,12,5,1,2,6,5,2,0.2225228551,0.7774771449,1
32,Driving Layup Shot,Layup,249,20000019,34.0443,0,0,-118.2698,10,3,0,2000-01,46,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,11/01/2000,LAL vs. UTA,UTA,20,15851,69,95.71,646,,12,5,1,2,6,5,2,0.2225228551,0.7774771449,1
45,Jump Shot,Jump Shot,4,20000047,33.9683,163,76,-118.1068,11,1,0,2000-01,26,17,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,11/04/2000,LAL @ VAN,VAN,33,14081,72,95.09,686,,26,4,1,6,5,1,3,0.6179866608,0.3820133392,0
46,Jump Shot,Jump Shot,8,20000047,33.8503,70,194,-118.1998,10,1,0,2000-01,58,20,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,11/04/2000,LAL @ VAN,VAN,34,14081,72,95.09,658,,26,4,1,5,5,1,3,0.5393080818,0.4606919182,0
47,Layup Shot,Layup,26,20000047,34.0253,1,19,-118.2688,7,1,0,2000-01,33,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,11/04/2000,LAL @ VAN,VAN,35,14081,72,95.09,453,,27,5,1,2,6,5,3,0.2940394914,0.7059605086,1
48,Layup Shot,Layup,37,20000047,34.0293,-12,15,-118.2818,5,1,0,2000-01,58,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,11/04/2000,LAL @ VAN,VAN,36,14081,72,95.09,358,,27,5,1,2,6,5,3,0.2940394914,0.7059605086,1
49,Reverse Layup Shot,Layup,53,20000047,34.0403,1,4,-118.2688,4,1,0,2000-01,9,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,11/04/2000,LAL @ VAN,VAN,37,14081,72,95.09,249,,34,5,1,2,6,5,3,0.2866576596,0.7133423404,1
50,Jump Shot,Jump Shot,165,20000047,33.9283,-117,116,-118.3868,5,2,0,2000-01,33,16,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,11/04/2000,LAL @ VAN,VAN,38,14081,72,95.09,333,,26,4,1,3,5,1,3,0.6846945963,0.3153054037,0
